Image #	Day	Hour	Minute	Second	TimeDelta	Depth	Yaw	Pitch	Roll	Notes
262	19	16	40	47	0	-15.23	52.0	-3	1	B5
266	19	16	41	27	1	-13.97	52.0	-3	0	B5
261	19	16	40	42	0	-13.59	51.0	-3	0	B5
267	19	16	41	46	-1	-13.59	51.0	-6	-1	B5
268	19	16	41	52	1	-12.91	52.0	-6	-1	B5
260	19	16	40	37	1	-12.31	51.0	-3	0	B5
269	19	16	41	59	1	-12.28	52.0	-6	0	Missing Image
270	19	16	42	3	0	-11.76	51.0	-7	-1	B5
259	19	16	40	31	0	-11.39	51.0	-3	-1	B5
271	19	16	42	7	0	-11.14	52.0	-6	-1	B5
272	19	16	42	13	1	-10.11	53.0	-6	-1	B5
556	18	15	47	4	0	-9.78	40.0	-5	1	B5
555	18	15	46	55	0	-9.78	45.0	-5	0	B5
553	18	15	46	37	0	-9.76	55.0	-5	0	B5
554	18	15	46	46	0	-9.75	51.0	-5	1	B5
273	19	16	42	23	1	-9.54	50.0	-7	0	B5
258	19	16	40	26	0	-9.46	51.0	-3	-1	B5
274	19	16	42	26	0	-8.69	50.0	-7	0	B5
257	19	16	40	20	0	-8.07	51.0	-3	-1	B4, B5
276	19	16	42	41	0	-6.73	46.0	-7	-1	B4
256	19	16	40	14	0	-6.73	51.0	-3	-1	B4
277	19	16	42	46	-1	-6.19	48.0	-7	0	B4
279	19	16	43	4	1	-5.72	49.0	-7	0	B4
255	19	16	40	6	1	-5.29	51.0	-4	-1	B4
280	19	16	43	11	1	-5.22	47.0	-7	0	B4
281	19	16	43	15	0	-4.52	48.0	-7	0	B4
254	19	16	40	1	1	-4.07	51.0	-3	-1	B4
282	19	16	43	20	0	-3.55	49.0	-7	-1	B4
283	19	16	43	25	0	-3.11	48.0	-7	0	B4
253	19	16	39	55	1	-2.89	52.0	-5	4	B3, B4
284	19	16	43	30	1	-2.29	48.0	-7	-1	B3, B4
252	19	16	39	47	1	-2.08	51.0	-3	-1	B3, B4
716	18	16	2	50	-1	-1.50	51.0	-4	1	B3
718	18	16	3	10	-1	-1.50	30.0	-4	1	B3
715	18	16	2	39	0	-1.47	52.0	-4	0	B3
717	18	16	3	2	0	-1.47	37.0	-4	1	B3
285	19	16	43	34	0	-1.19	49.0	-6	-1	B3, B4
251	19	16	39	42	1	-0.93	51.0	-4	0	B3, B4
286	19	16	43	40	1	-0.09	47.0	-7	0	B3
250	19	16	39	37	0	0.13	51.0	-3	-1	B3
287	19	16	43	45	0	0.80	49.0	-7	-1	B3
249	19	16	39	33	1	1.20	51.0	-4	0	B3
288	19	16	43	50	1	1.64	48.0	-7	0	B3
247	19	16	39	20	1	2.18	55.0	-3	-1	B3
289	19	16	43	55	1	2.23	48.0	-7	-1	B3
248	19	16	39	27	0	2.25	51.0	-3	0	B3
290	19	16	43	58	0	2.89	48.0	-7	0	B3
775	18	16	17	27	0	3.27	51.0	1	1	B2, B3
776	18	16	17	35	0	3.28	46.0	2	0	B2, B3
777	18	16	17	45	0	3.29	40.0	2	0	B2, B3
246	19	16	39	13	1	3.61	56.0	-4	0	B2, B3
245	19	16	39	7	1	4.84	55.0	-3	-1	B2, B3
293	19	16	44	11	0	5.19	49.0	-6	1 	B2
294	19	16	44	18	1	5.71	47.0	-6	-1	B2
244	19	16	39	2	1	5.94	52.0	-3	-1	B2
295	19	16	44	21	0	6.53	48.0	-7	-1	B2
243	19	16	38	55	0	7.14	52.0	-4	1	B2
296	19	16	44	29	1	7.73	48.0	-7	0	Missing Image
242	19	16	38	49	1	8.32	52.0	-3	-1	B2
297	19	16	44	35	1	8.43	47.0	-6	0	B2
298	19	16	44	46	0	9.45	48.0	-7	0	B2
241	19	16	38	41	0	9.82	50.0	-3	-1	B1, B2
299	19	16	44	52	1	10.14	48.0	-8	-2	B1, B2
126	19	16	14	41	0	10.55	46.0	-2	-1	B2
127	19	16	14	46	0	10.55	35.0	-2	-1	B2
125	19	16	14	34	-1	10.57	52.0	-1	-1	B2
124	19	16	14	30	0	10.57	60.0	-2	-1	B2
240	19	16	38	36	0	10.98	51.0	-3	-1	B1
300	19	16	44	57	0	11.13	48.0	-7	-1	B1
301	19	16	45	3	1	12.15	48.0	-7	-1	B1
239	19	16	38	30	0	12.29	50.0	-3	-1	B1
302	19	16	45	7	0	12.83	48.0	-7	-1	B1
303	19	16	45	7	0	12.83	48.0	-7	-1	B1
238	19	16	38	21	0	13.39	50.0	-3	-1	B1
304	19	16	45	12	1	13.70	48.0	-7	-1	B1
86	19	16	4	10	-1	14.51	51.0	-3	0	B1
87	19	16	4	25	0	14.52	40.0	-3	-1	B1
237	19	16	38	16	0	14.72	50.0	-3	-1	B1
305	19	16	45	16	0	14.91	47.0	-6	0	B1
48	19	15	51	48	0	15.15	42.0	2	0	B1
47	19	15	51	38	-1	15.15	55.0	2	-1	B1
45	19	15	51	24	0	15.17	64.0	2	-1	B1
46	19	15	51	31	0	15.17	59.0	2	-1	B1
306	19	16	45	22	1	15.67	48.0	-11	0	B1
236	19	16	38	10	0	16.06	50.0	-3	-1	B1
307	19	16	45	27	1	16.48	48.0	-11	0	B1
311	19	16	45	58	0	16.93	48.0	-11	0	B1
310	19	16	45	54	0	16.95	49.0	-11	-1	B1
309	19	16	45	50	0	16.96	48.0	-11	-1	B1
312	19	16	46	3	0	16.96	57.0	-11	0	B1
308	19	16	45	33	1	17.01	48.0	-11	0	B1
